No.,FECHA NOTICIA,FUENTE,NOMBRE COLUMNISTA/ ESCRITOR,TEMA GENERAL DE NOTICIA,TIPO DE NOTICIA,TITULAR / NOMBRE NOTICIA,SECTOR (BARRIO / LOCALIDAD),DESCRIPCIÓN NOTICIA,OPORTUNIDAD DE INTERVENCIÓN ,LINK DE CONSULTA 
1,"lunes, septiembre 05, 2022",Ecos del Combeima,Ecos del Combeima,Economía,Positiva,Las tarifas de energía en Ibagué presentan incrementos menores a los del promedio nacional: DANE,Ciudad de Ibagué en general,"Según el más reciente reporte del DANE sobre el costo de la vida en Colombia, el aumento de la tarifa en Ibagué está por debajo del promedio nacional, con incrementos similares a los que se presentan en ciudades del interior del país.",Costo de vida,https://www.ecosdelcombeima.com/economia/nota-199323-las-tarifas-de-energia-en-ibague-presentan-incrementos-menores-los-del-promedio
2,"lunes, septiembre 05, 2022",El Tiempo,El Tiempo,Seguridad,Negativa,Video: comerciante retiró $ 40 millones y fleteros lo atracan saliendo del banco,Ciudad de Ibagué en general,"Dos robos en cuantía superior a los 200 millones de pesos se presentaron durante el fin de semana en la zona urbana de Ibagué, Tolima.

En el primer crimen, cuatro hombres en moto y con cascos despojaron de $ 40 millones a un comerciante de café que retiró esa suma de una entidad bancaria.

En otro hurto, una mujer fue despojada de $ 170 millones cuando se movilizaba en moto por la carrera Quinta con calle 18, en el centro de Ibagué. También fue intimidada con armas por parte de delincuentes que le arrebataron el maletín con la gruesa suma de dinero destinada para la compra de café.
",planes en contra de la inseguridad,https://www.eltiempo.com/colombia/otras-ciudades/robo-en-ibague-a-comerciante-700046
3,"lunes, septiembre 05, 2022",ALCALDÍA MUNICIPAL DE IBAGUÉ,SECRETARÍA DE SALUD.,Salud,Negativa,¡Confirmado! Ibagué suma cuatro casos más de Viruela Símica,Ciudad de Ibagué en general,"“Continúan en aumento los casos de Viruela Símica. En esta ocasión se suman cuatro casos según el más reciente reporte del Instituto Nacional de Salud. En total, son 14 casos confirmados, de los cuales dos ya están totalmente recuperados y algunos próximos a cumplir su aislamiento preventivo”, sostuvo Martha Liliana Ospina, secretaria de Salud de Ibagué.  ", medidas de cuidado ,https://ibague.gov.co/portal/seccion/noticias/index.php?idnt=13013
4,"lunes, septiembre 05, 2022",ALCALDÍA MUNICIPAL DE IBAGUÉ,DESPACHO DEL ALCALDE.,Política,Positiva,Alcalde se reunió con bancada de congresistas tolimenses para socializar proyectos,Ciudad de Ibagué en general,"El mandatario de los ibaguereños, Andrés Hurtado, presentó ante la bancada de congresistas el avance de los proyectos priorizados para el desarrollo de la ciudad, con el fin de trabajar en equipo para lograr que el Gobierno Nacional destine los recursos que hacen falta para culminar estas iniciativas que ya están viabilizadas. ",Proyectos en curso,https://ibague.gov.co/portal/seccion/noticias/index.php?idnt=13012
5,"martes, septiembre 06, 2022",Alerta Tolima,Juliette Alexandra Echeverry Bonilla,Salud,Negativa,Ibagué con cuatro nuevos contagiados por Viruela Símica,Ciudad de Ibagué en general,"El Instituto Nacional de Salud, dio a conocer que Ibagué registra actualmente cuatro casos nuevos de Viruela Símica en hombres entre los 22 y 44 años, cifras que van en aumento y preocupan a las autoridades de salud pues la ciudad y el departamento se ubican dentro del país con uno de los índices de contagio más altos después de ciudades como Bogotá, Cali y Medellín.", medidas de cuidado ,"https://www.alertatolima.com/noticias/tolima/ibague/ibague-con-cuatro-nuevos-contagiados-por-viruela-simica
"
6,"martes, septiembre 06, 2022",ALCALDÍA MUNICIPAL DE IBAGUÉ,INSTITUTO DE FINANCIAMIENTO PROMOCIÓN Y DESARROLLO DE IBAGUÉ - INFIBAGUÉ.,Política,Positiva,Infibagué desarrolló con éxito su primera audiencia pública de rendición de cuentas,Ciudad de Ibagué en general,"El Instituto de Financiamiento, Promoción y Desarrollo de Ibagué, Infibagué, llevó a cabo su primera audiencia pública de rendición de cuentas del 2022, donde se dio a conocer a la comunidad los avances de los proyectos estratégicos que se ejecutan en la ciudad",-,https://ibague.gov.co/portal/seccion/noticias/index.php?idnt=13018
7,"martes, septiembre 06, 2022",Alerta Tolima, Tatty Umaña G. ,Trabajo,Positiva,"Con 18 puntos abiertos y 31 años de trabajo continuo, Mercacentro da ejemplo",Ciudad de Ibagué en general,"Empresas que se expanden y le dan oportunidad directa e indirectamente a sus coterráneos son ejemplo.

Ya son 18 tiendas en las cuales no solamente dan empleo directo a muchos tolimenses, sino que también de manera indirecta benefician a muchos otros.",impulso a empresas,https://www.alertatolima.com/noticias/tolima/ibague/con-18-puntos-abiertos-y-31-anos-de-trabajo-continuo-mercacentro-da-ejemplo
8,"martes, septiembre 06, 2022",Alerta Tolima,Juliette Alexandra Echeverry Bonilla,Política,Positiva,Piden al Gobierno Nacional invertir en operatividad del aeropuerto Perales de Ibagué,Ciudad de Ibagué en general,"El mandatario de los ibaguereños Andrés Hurtado, presentó ante la bancada de congresistas el avance de los proyectos priorizados para el desarrollo de la ciudad, con el fin de trabajar en equipo para lograr que el Gobierno Nacional destine los recursos que hacen falta para culminar estas iniciativas que ya están viabilizadas. Uno de ellos es la operatividad del aeropuerto Perales, que busca la amplitud de la pista y la instalación del Sistema de Aterrizajes por Instrumentos, ILS, requerimientos que le permitirían a la terminal aérea operar 24 horas y aumentar las rutas.",-,https://www.alertatolima.com/noticias/tolima/ibague/piden-al-gobierno-nacional-invertir-en-operatividad-del-aeropuerto-perales
9,"miércoles, septiembre 07, 2022",SECRETARIA DE MOVILIDAD DE IBAGUÉ,SECRETARÍA DE MOVILIDAD.,Movilidad,Positiva,Más de 150 mil vehículos dejarán de transitar en el ‘Día sin carro y sin moto’,Ciudad de Ibagué en general,"La Capital Musical se alista para realizar el ‘Día sin carro y sin moto’, que tiene como propósito reducir la huella de carbono y contribuir a la conservación del medio ambiente. Por tal razón, cerca de 90 mil motocicletas y 70 mil vehículos dejarán de circular durante 14 horas.

El 21 de septiembre se cumplirá la segunda jornada entre las 6:00 de la mañana y las 8:00 de la noche.",-,https://ibague.gov.co/portal/seccion/noticias/index.php?idnt=13020
10,"miércoles, septiembre 07, 2022",El Irreverente,El Irreverente,Trabajo,Positiva,"Después de 30 años, San Lucas I cuenta con nueva red de alcantarillado",San Lucas I,"Luego del colapso en la red de alcantarillado en el barrio San Lucas I, la Empresa Ibaguereña de Acueducto y Alcantarillado, IBAL, adelantó labores de reposición en 33 metros lineales, totalmente deteriorados.

Así lo confirmó Harold Rodríguez Sánchez, director Operativo del IBAL, quien sostuvo que la nueva tubería adecuada en este punto de la ciudad es de 10 pulgadas, mejorando el proceso del sistema.",Mejoras de sistema de acueducto y alcantarillado,"https://elirreverenteibague.com/noticia/14963/Despu%C3%A9s-de-30-a%C3%B1os,-San-Lucas-I-cuenta-con-nueva-red-de-alcantarillado"
